country_code,country_name,provider_id,provider_name,endpoint_id,endpoint_name,endpoint_url,official,documented,endpoint_type,protocol,format,method,authentication,status_local,status_github,status_hetzner,content_type,supports_station_list,supports_current_level,supports_history,supports_forecast,supports_discharge,supports_water_temperature,supports_variation,supports_coordinates,supports_river_km,supports_gauge_zero,supports_vertical_datum,supports_quality_flags,supports_last_modified,time_zone,update_frequency,history_limit,rate_limit,license,attribution_required,production_suitability,stability,notes,evidence_url
hr,Croatia,vodniputovi_hr,Agencija za vodne putove,hr-level-json,Internal water level JSON,https://vodniputovi.hr/dhmz_vodostaji/getwaterstuff.php,yes,no,undocumented internal endpoint,HTTPS,JSON,GET,none,200,not-tested,not-tested,application/json,partial,partial,yes,no,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown; stale during audit,10 records returned,unknown,not identified,unknown,no,unstable/undocumented,Latest returned date 2026-03-12 during 2026-08-04 audit; 3 stations,https://www.vodniputovi.hr/en/services/waterlevels/
hr,Croatia,vodniputovi_hr,Agencija za vodne putove,hr-page,Water levels application,https://www.vodniputovi.hr/en/services/waterlevels/,yes,no,dynamic HTML,HTTPS,HTML/JavaScript,GET,none,200,not-tested,not-tested,text/html,yes,yes,unknown,partial,unknown,unknown,unknown,unknown,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not identified,unknown,no,dynamic/fragile,unknown,https://www.vodniputovi.hr/en/services/waterlevels/
hr,Croatia,hrvatske_vode_hr,Hrvatske vode,hr-mobile,Hrvatske vode mobile water levels,https://mvodostaji.voda.hr/,yes,no,official mobile portal,HTTPS,HTML/JavaScript,GET,none,200,not-tested,not-tested,text/html,yes,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not identified,unknown,unknown,portal; data contract not audited,Provider registry entry for Dalj and Ilok inventory rows; not the Vodni Putovi JSON feed.,https://mvodostaji.voda.hr/
rs,Serbia,hidmet_rs,RHMZ Serbia,rs-stations,Hydrological reporting stations,https://www.hidmet.gov.rs/eng/hidrologija/izvestajne/index.php,yes,no,semantic HTML,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,yes,partial,partial,partial,partial,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,daily/unknown by page,unknown,unknown,not identified,unknown,partial,HTML fragile,13 DUNAV rows with hm_id and links by forecast category,https://www.hidmet.gov.rs/eng/hidrologija/izvestajne/index.php
rs,Serbia,hidmet_rs,RHMZ Serbia,rs-overview,Hydrology overview,https://www.hidmet.gov.rs/eng/hidrologija/naslovna_stanje.php,yes,no,HTML portal,HTTPS,HTML,GET,none,200,not-tested,not-tested,unknown,partial,yes,yes,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,30 days current page; annual pages available,unknown,not identified,unknown,partial,HTML fragile,unknown,https://www.hidmet.gov.rs/eng/hidrologija/naslovna_stanje.php
bg,Bulgaria,appd_bg,APPD Bulgaria,bg-current-hydrology,Current hydrology tables,https://www.appd-bg.org/hidrology-en,yes,no,semantic HTML,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html; charset=UTF-8,yes,yes,no,no,partial,yes,yes,unknown,yes,unknown,unknown,partial,edition date in HTML; no HTTP Last-Modified,date only; timezone not stated,daily edition observed; schedule not documented,current edition,unknown,EAEMDR Open Data reuse terms published on official Open Data page,yes,partial,semantic server-rendered HTML; unversioned contract,"Class C; 8 main and 12 automated stations. Main: level, discharge (2 blank cells), 24 h difference, temperature. Automated: level, categorical 6 h variation, temperature. Edition 04.08.2026. Blank maps to null.",https://www.appd-bg.org/hidrology-en
bg,Bulgaria,appd_bg,APPD Bulgaria,bg-forecast,Official six-day forecasts,https://www.appd-bg.org/forecasts-en,yes,no,semantic HTML with embedded data,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html; charset=UTF-8,yes,no,no,yes,unknown,no,no,unknown,unknown,unknown,unknown,unknown,no edition date demonstrated; no HTTP Last-Modified,target day only; timezone not stated,unknown,6 target days,unknown,EAEMDR Open Data reuse terms published on official Open Data page,yes,partial,semantic server-rendered HTML plus inline arrays; unversioned contract,"Class C; Oryahovo, Nikopol, Svishtov, Ruse, Silistra; day plus min/central/max for 6 days. Issue date, year, unit and level reference are not stated.",https://www.appd-bg.org/forecasts-en
bg,Bulgaria,appd_bg,APPD Bulgaria,bg-open-data,Open Data hydrology index,https://www.appd-bg.org/pages-en?id=opendata,yes,yes,document index,HTTPS,HTML/PDF,GET,none,200,not-tested,not-tested,text/html,yes,no,yes,no,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,document-specific,document-specific,annual documents observed,unknown,unknown,EAEMDR Open Data reuse terms: attribution and transformation notice required,yes,no,document index and PDF links,Class E historical archive; 55 PDF links observed. Six named historical stations. Distinct from current and forecast HTML.,https://www.appd-bg.org/pages-en?id=opendata
bg,Bulgaria,appd_bg,APPD Bulgaria,bg-legacy,Legacy exploration route,https://appd-bg.org/exploration#data_hydro-bg,yes,no,legacy route,HTTPS,HTML,GET,none,301->200 homepage,not-tested,not-tested,text/html,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,retired,Fragment not sent to server; browser found no hydrology XHR,https://appd-bg.org/exploration#data_hydro-bg
ro,Romania,afdj_ro,AFDJ România,ro-xml,Danube levels XML,https://afdj.ro/ro/tabel_cotele_dunarii/xml,yes,no,structured XML feed,HTTPS,XML,GET,none,200,403,200,application/xml,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,partial,unknown,Europe/Bucharest dates; exact semantic mapping documented in project,multiple daily editions,current edition,unknown,not identified,unknown,partial,official but unversioned,23 stations; GitHub block documented separately,https://afdj.ro/ro/tabel_cotele_dunarii/xml
ro,Romania,afdj_ro,AFDJ România,ro-html,Danube levels HTML,https://afdj.ro/ro/cotele-dunarii,yes,no,semantic HTML,HTTPS,HTML,GET,none,200,403,200,unknown,yes,yes,unknown,yes,unknown,yes,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not identified,unknown,no,HTML fragile,unknown,https://afdj.ro/ro/cotele-dunarii
de,Germany,pegelonline_de,WSV PEGELONLINE,de-initial-map,Initial PEGELONLINE map,https://www.pegelonline.wsv.de/gast/karte/standard,yes,no,web application,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,web UI,Initial discovery URL; use documented REST for production,https://www.pegelonline.wsv.de/webservice/dokuRestapi
at,Austria,viadonau_at,viadonau DoRIS,at-initial-water-levels,Initial DoRIS water-level page,https://www.doris.bmimi.gv.at/en/fairway-information/water-levels,yes,no,official portal page,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,partial,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,web UI,Redirected from bmk.gv.at to current bmimi.gv.at domain; use OpenAPI,https://www.doris.bmimi.gv.at/en/fairway-information/water-levels
sk,Slovakia,povodia_sk,Slovenský vodohospodársky podnik,sk-initial-legacy,Legacy Dunaj frameset,http://www.povodia.sk/dunaj/en/,yes,no,legacy HTML frameset,HTTP,HTML,GET,none,200,not-tested,not-tested,text/html; windows-1250,partial,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,legacy,Still responds with frameset Stavy a prutoky 4.2; SHMU selected for current official observations,http://www.povodia.sk/dunaj/en/
hu,Hungary,hydroinfo_hu,OVF Hydroinfo,hu-initial-English,Initial English Danube page,https://www.hydroinfo.hu/en/hidinfo/duna.html,yes,no,official HTML page,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,partial,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,legacy navigation,Initial URL works; structured current table is preferred,https://www.hydroinfo.hu/en/hidinfo/duna.html
rs,Serbia,hidmet_rs,RHMZ Serbia,rs-initial-home,Initial RHMZ home,https://www.hidmet.gov.rs/,yes,no,official portal,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,portal,Initial discovery page; hydrology subpages preferred,https://www.hidmet.gov.rs/
