nid,uuid,vid,langcode,type,revision_timestamp,revision_uid,status,uid,title,created,changed,promote,sticky,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,display_page_title,body,feeds_item,field_cota,field_data_actualizare_prognoze,field_field_data_actualiz_cote,field_geolocation_demo_single,field_km,field_localitatea,field_localitate_grafic,field_temperatura_masurata,field_tendinta_120h,field_tendinta_24h,field_tendinta_48h,field_tendinta_72h,field_tendinta_96h,field_variatia
93,5f0aaecc-01c1-4828-be3a-405bf48702b8,93,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Turnu Magurele,2014-07-22T12:23:40+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/turnu-magurele64ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7af876ff181320451ba0c9f99f77bcc17feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-95,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.751830624.869171743.7518306, 24.8691717",597,Turnu Magurele,,27.5,-107,-96,-99,-102,-104,-1
94,b5ab6a64-d495-4137-b6a3-4c98d96836c9,94,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Corabia,2014-07-22T12:25:05+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/corabia65ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7bf182fc66a1350dcdfa1ed9af93042bbfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-127,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.774761224.501543943.7747612, 24.5015439",630,Corabia,,27.5,-142,-129,-133,-136,-139,-1
95,03013570-89c3-468d-929e-389aa605e929,95,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Bechet,2014-07-22T12:26:04+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/bechet66ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/791ce0acf4cfb13fe090c924a08a5d9fbfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-87,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.78431423.957442243.784314, 23.9574422",679,Bechet,,27.5,-101,-88,-92,-95,-99,-3
96,89bd48d0-b491-4706-986d-d67ffc282f4e,96,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Rast,2014-07-22T12:27:01+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/rast67ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7f54820ab215c5a9dae2f7f1fc45bcc93feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-148,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.885167223.281347243.8851672, 23.2813472",738,Rast,,27.5,0,0,0,0,0,-3
97,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,97,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Calafat,2014-07-22T12:28:03+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/calafat68ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/78d10e80237a80947e25e13b028c92f0dfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-160,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.994298322.933702743.9942983, 22.9337027",795,Calafat,,27.5,-172,-160,-164,-167,-170,-4
98,031cc7fd-3f5f-4d3f-8c42-01438e8dd69a,98,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Cetate,2014-07-22T12:29:09+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/cetate69ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/77b1d6e827f0b3d0883ad8218a1d2662dfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-102,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.111425923.047551444.1114259, 23.0475514",811,Cetate,,27.5,0,0,0,0,0,-4
99,09b542d8-41d7-4746-8d84-e081f76a8c37,99,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Gruia,2014-07-22T12:30:02+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/gruia70ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7cff8c2245efdfe1083e68ddf3a567b70feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-140,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.266573222.704685244.2665732, 22.7046852",851,Gruia,,28,-136,-126,-129,-132,-134,-2
100,3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Drobeta Turnu Severin,2014-07-22T12:31:18+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:34+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/drobeta-turnu-severin71ro,und,0,1,,72026-08-03T05:57:34+00:00/ro/feed/7552626eb5b62f1b3fa465ba13803a0bbfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,680,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.625783522.653197544.6257835, 22.6531975",931,Drobeta Turnu Severin,,28,0,0,0,0,0,0
101,bbf5e3ee-6ed6-4b87-afee-d78643847aea,101,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Orsova,2014-07-22T12:32:45+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:34+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/orsova72ro,und,0,1,,72026-08-03T05:57:34+00:00/ro/feed/7e356c93c405802b7cc9c8a8b05af2759feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,2510,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.72612822.39231297505944.726128, 22.392312975059",954,Orsova,,28,0,0,0,0,0,-5
102,841d8091-d02e-4c06-8391-7f5aa233b244,102,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Drencova,2014-07-22T12:33:58+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:34+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/drencova73ro,und,0,1,,72026-08-03T05:57:34+00:00/ro/feed/72214525ae6fa841d018e7c02e5151abffeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,963,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.637770721.972336444.6377707, 21.9723364",1015,Drencova,,28,0,0,0,0,0,-1
103,264afec2-a181-408b-979c-473e5eaf4940,103,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Moldova Veche,2014-07-22T12:35:17+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:34+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/moldova-veche74ro,und,0,1,,72026-08-03T05:57:34+00:00/ro/feed/7502b19342740720b26f054edbb893d7cfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,690,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.721353421.619834844.7213534, 21.6198348",1048,Moldova Veche,,28,0,0,0,0,0,-2
104,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,104,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Bazias,2014-07-22T12:36:48+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:34+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/bazias75ro,und,0,1,,72026-08-03T05:57:34+00:00/ro/feed/76ce7556c05585ddac54e2037bd900b08feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,544,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.815907121.3904844.8159071, 21.39048",1072,Bazias,,28,0,0,0,0,0,0
5243,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,5261,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2024-09-05T08:52:06+00:00Y-m-d\TH:i:sP,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Tulcea,2024-09-05T08:52:06+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:28+00:00Y-m-d\TH:i:sP,1,0,1,1,ro,und,0,1,,72026-08-03T05:57:28+00:00/ro/feed/73b2a34c34c29c16155c64bdfec90a35dfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,21,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"45.17751828.801634845.177518, 28.8016348",71,Tulcea,,27.5,14,19,18,17,16,0
